,property_type,area_sqft,non_landed,bedrooms,price,state,area,median_psf,median_price,nearby_poi_education,nearby_poi_transportation,nearby_poi_healthcare
80,Condominium/Apartment,0.03231270358306188,1,0.2857142857142857,240000,Kuala Lumpur,Setapak,0.19987849331713242,0.026573426573426574,0.6078431372549019,0.09523809523809523,0.3333333333333333
81,Terrace House,0.16130293159609121,0,0.42857142857142855,700000,Kuala Lumpur,Kepong,0.23633049817739973,0.09090909090909091,0.3627450980392157,0.26190476190476186,0.2
82,Semi-Detached House,0.6226710097719869,0,0.7142857142857142,2600000,Kuala Lumpur,Jalan Klang Lama (Old Klang Road),0.28250303766707163,0.35664335664335667,0.27450980392156865,0.19047619047619047,0.06666666666666667
83,Hotel/Service Apartment,0.07713355048859935,1,0.42857142857142855,450000,Kuala Lumpur,Ampang,0.2515188335358444,0.05594405594405595,0.3823529411764706,0.19047619047619047,0.3333333333333333
84,Condominium/Apartment,0.23843648208469057,1,0.5714285714285714,1360000,Kuala Lumpur,Mont Kiara,0.34690157958687723,0.18321678321678322,0.35294117647058826,0.07142857142857142,0.2
85,Condominium/Apartment,0.26084690553745926,1,0.42857142857142855,1497000,Kuala Lumpur,Bangsar,0.35540704738760626,0.20237762237762238,0.3235294117647059,0.2857142857142857,0.26666666666666666
86,Condominium/Apartment,0.3253420195439739,1,0.7142857142857142,1600000,Kuala Lumpur,Ampang Hilir,0.31287970838396106,0.21678321678321677,0.5490196078431372,0.3571428571428571,0.4
87,Condominium/Apartment,0.19074918566775242,1,0.5714285714285714,1300000,Kuala Lumpur,Salak Selatan,0.39975698663426484,0.17482517482517482,0.3333333333333333,0.23809523809523808,0.2
88,Detached House,0.6282736156351791,0,1.0,7200000,Kuala Lumpur,Mont Kiara,0.8140947752126366,1.0,0.3431372549019608,0.07142857142857142,0.2
89,Terrace House,0.06175895765472312,0,0.2857142857142857,450000,Kuala Lumpur,Wangsa Maju,0.28797083839611176,0.05594405594405595,0.43137254901960786,0.047619047619047616,0.2
90,Hotel/Service Apartment,0.06736156351791531,1,0.42857142857142855,350000,Kuala Lumpur,Jalan Klang Lama (Old Klang Road),0.2077764277035237,0.04195804195804196,0.3627450980392157,0.16666666666666666,0.2
91,Terrace House,0.11635179153094463,0,0.5714285714285714,470000,Selangor,Semenyih,0.16403402187120292,0.1369697902097902,0.0392156862745098,0.0,0.06666666666666667
92,Semi-Detached House,0.5610423452768729,0,0.5714285714285714,1280000,Selangor,Semenyih,0.16403402187120292,0.1369697902097902,0.0392156862745098,0.0,0.06666666666666667
93,Semi-Detached House,0.5610423452768729,0,0.5714285714285714,1338000,Selangor,Semenyih,0.16403402187120292,0.1369697902097902,0.0392156862745098,0.0,0.06666666666666667
94,Semi-Detached House,0.4151140065146579,0,0.8571428571428571,1560000,Selangor,Telok Panglima Garang,0.23572296476306195,0.21421916083916084,0.029411764705882353,0.0,0.2
95,Semi-Detached House,0.4151140065146579,0,0.8571428571428571,1560000,Selangor,Telok Panglima Garang,0.23572296476306195,0.21421916083916084,0.029411764705882353,0.0,0.2
96,Semi-Detached House,0.4740065146579804,0,0.8571428571428571,1625000,Selangor,Telok Panglima Garang,0.23572296476306195,0.21421916083916084,0.029411764705882353,0.0,0.2
97,Terrace House,0.1136156351791531,0,0.5714285714285714,550000,Selangor,Dengkil,0.2387606318347509,0.06993006993006994,0.0196078431372549,0.0,0.06666666666666667
98,Terrace House,0.1136156351791531,0,0.5714285714285714,550000,Selangor,Dengkil,0.2387606318347509,0.06993006993006994,0.0196078431372549,0.0,0.06666666666666667
99,Terrace House,0.1332899022801303,0,0.42857142857142855,380000,Selangor,Kajang,0.16221142162818955,0.0548951048951049,0.0784313725490196,0.0,0.06666666666666667
100,Terrace House,0.14019543973941367,0,0.5714285714285714,505000,Selangor,Kajang,0.16221142162818955,0.0548951048951049,0.0784313725490196,0.0,0.06666666666666667
101,Detached House,1.0,0,0.7142857142857142,3000000,Selangor,Subang Jaya,0.25516403402187116,0.23006993006993007,0.3235294117647059,0.2857142857142857,0.13333333333333333
